Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After
Costa Rica	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,679.13	11,422.60	11,779.24	11,872.57	12,123.96	12,243.84	11,629.01	11,804.69	12,415.74	13,002.83	13,605.12	14,252.44	2019
CÙte d'Ivoire	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,115.19	1,932.22	1,971.62	2,066.85	2,254.10	2,229.56	2,281.42	2,570.76	2,732.01	2,882.05	3,045.35	3,217.92	2015
Croatia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,601.48	11,781.78	12,361.54	13,410.79	14,915.87	14,853.02	14,033.24	16,401.47	17,792.74	19,101.83	20,428.34	21,542.01	2019
Cyprus	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	26,961.58	23,354.31	24,618.93	26,474.53	28,897.32	28,049.01	26,240.05	29,685.75	31,147.89	32,535.27	33,668.39	34,830.19	2019
Czech Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	19,915.38	17,842.87	18,597.21	20,666.67	23,459.70	23,538.52	22,627.47	25,990.63	27,782.66	29,463.50	30,952.21	32,288.88	2019
Denmark	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	62,729.50	53,478.50	54,862.85	57,302.17	61,522.85	59,770.32	58,438.85	63,644.75	66,545.87	69,355.24	72,178.05	75,091.41	2019
Djibouti	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,357.80	2,516.86	2,622.86	2,696.36	2,872.07	3,103.02	3,074.33	3,275.14	3,464.27	3,660.74	3,850.18	4,049.43	2018
Dominica	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,402.80	7,645.44	8,135.09	7,401.09	7,541.63	8,305.39	7,708.72	8,110.57	8,539.46	8,974.29	9,314.23	9,643.02	2011
Dominican Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,805.66	7,139.51	7,521.27	7,874.94	8,340.96	8,595.61	7,444.80	7,740.11	8,459.31	8,960.43	9,525.66	10,132.16	2018
Ecuador	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,347.00	6,099.35	6,046.30	6,216.61	6,318.48	6,221.67	5,315.52	5,589.24	5,709.29	5,806.70	5,916.57	6,043.32	2018
Egypt	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,520.36	3,731.18	3,653.67	2,484.54	2,577.27	3,043.64	3,561.14	3,606.29	3,706.00	3,859.27	4,016.67	4,212.44	2018
El Salvador	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,589.04	3,705.58	3,805.99	3,910.25	4,067.66	4,186.96	3,821.29	4,023.23	4,195.15	4,346.25	4,481.83	4,610.24	2018
Equatorial Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	19,271.29	11,217.99	9,202.54	9,624.53	10,365.49	8,689.95	7,131.16	8,000.28	7,760.13	7,727.18	7,675.72	7,568.58	2015
Eritrea	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	786.54	603.193	655.424	557.857	580.845	566.731	585.158	632.409	655.455	680.185	706.341	733.909	2006
Estonia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	20,387.09	17,531.06	18,444.69	20,451.24	23,181.22	23,757.62	22,985.86	26,377.58	28,245.30	29,871.40	31,493.96	33,128.83	2019
Eswatini	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,133.03	3,779.60	3,536.60	4,072.02	4,267.11	4,113.89	3,414.81	3,697.21	4,101.99	4,184.62	4,312.20	4,458.00	2017
Ethiopia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	613.101	702.767	777.294	829.313	852.011	960.765	974.088	917.884	928.122	974.433	1,069.20	1,165.72	2016
Fiji	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,611.19	5,385.52	5,620.61	6,049.89	6,222.57	6,043.01	4,370.89	4,822.39	5,333.52	5,708.54	6,051.74	6,304.53	2017
Finland	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	50,434.79	42,867.09	43,865.76	46,361.70	50,074.88	48,809.55	48,461.48	54,816.90	57,381.16	59,655.97	61,640.40	63,622.00	2019
France	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	44,616.46	37,937.86	38,348.51	40,134.13	43,083.48	41,896.58	39,257.43	44,769.80	46,833.62	48,579.22	50,206.14	51,768.64	2019
Gabon	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,746.79	7,453.11	7,082.22	7,370.34	8,220.49	8,111.34	7,185.42	7,784.53	8,276.12	8,765.90	9,354.22	9,936.01	2004
The Gambia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	607.429	649.511	683.998	676.656	729.035	774.206	746.329	808.584	841.922	905.58	968.308	1,019.33	2018
Georgia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,742.50	4,017.62	4,060.89	4,358.59	4,718.79	4,765.09	4,405.27	4,714.28	5,144.23	5,604.05	6,093.03	6,611.12	2015
Germany	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	48,035.95	41,107.22	42,124.32	44,537.10	47,832.06	46,472.62	45,466.12	51,967.33	54,875.57	56,966.92	58,849.03	60,890.48	2019
Ghana	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,962.66	1,753.85	1,941.46	2,037.95	2,216.84	2,220.82	2,187.79	2,299.88	2,393.66	2,538.87	2,623.14	2,720.44	2018
Greece	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	21,726.92	18,114.72	18,110.70	18,899.83	20,317.89	19,569.53	18,168.34	20,520.69	22,143.09	23,526.98	24,633.75	25,441.14	2019
Grenada	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,569.92	9,333.27	9,892.57	10,439.93	10,791.29	11,193.46	9,824.34	10,211.11	10,887.07	11,617.79	12,202.12	12,735.77	2016
Guatemala	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,632.03	3,825.88	3,982.17	4,230.85	4,235.78	4,354.34	4,239.67	4,384.93	4,514.73	4,654.43	4,870.26	5,099.62	2019
Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	729.798	712.047	679.947	796.959	916.223	1,012.50	1,019.41	1,066.84	1,130.48	1,183.04	1,233.61	1,286.70	2014
Guinea-Bissau	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	712.826	707.897	748.089	864.141	866.451	810.558	766.749	843.473	888.42	942.862	997.536	1,055.72	2017
Guyana	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,402.70	5,579.97	5,796.82	6,104.16	6,120.54	6,594.38	8,648.55	9,912.70	13,268.00	16,641.02	17,227.44	17,627.71	2019
Haiti	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	831.842	815.634	735.757	765.642	868.28	772.863	732.066	697.488	712.581	728.209	745.254	764.584	0
Honduras	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,206.06	2,302.20	2,342.02	2,448.18	2,479.07	2,550.67	2,412.44	2,592.76	2,690.15	2,809.92	2,946.89	3,099.73	2019
Hong Kong SAR	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	40,185.30	42,325.35	43,491.31	46,032.29	48,313.86	48,626.58	45,175.73	47,989.62	50,849.55	53,191.25	55,615.10	58,231.46	2019
Hungary	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,230.92	12,634.92	12,971.26	14,442.80	16,146.75	16,469.61	15,372.89	17,644.53	19,032.16	20,387.92	21,645.32	22,825.73	2019
Iceland	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	54,527.56	52,838.36	62,004.70	72,356.32	73,868.07	67,857.18	57,189.03	58,370.63	59,095.14	59,651.52	60,829.43	63,995.65	2018
India	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,573.88	1,605.61	1,732.05	1,981.65	2,005.86	2,097.78	1,876.53	2,030.62	2,195.14	2,366.56	2,544.26	2,729.24	2013
Indonesia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,533.61	3,367.69	3,605.72	3,885.47	3,947.13	4,196.67	4,038.40	4,287.19	4,557.23	4,834.01	5,122.04	5,428.87	2019
Islamic Republic of Iran	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,395.79	4,723.48	5,026.65	5,289.80	5,288.86	7,009.76	7,256.95	7,667.57	7,986.32	8,215.53	8,418.00	8,648.41	2019
Iraq	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,704.31	5,047.12	4,842.55	5,261.83	5,919.21	5,883.68	4,438.12	4,766.61	4,928.84	5,122.37	5,219.52	5,315.96	2013
Ireland	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	55,513.26	61,850.64	62,710.00	69,869.54	79,133.17	80,504.40	79,668.50	90,478.08	96,391.21	101,923.03	107,192.00	112,518.85	2019
Israel	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	37,755.12	35,828.17	37,293.84	40,491.33	41,720.58	43,603.01	41,559.51	43,439.38	44,805.97	46,252.61	47,693.47	49,091.89	2019
Italy	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	35,578.66	30,213.10	30,932.78	32,367.09	34,500.21	33,159.07	30,657.30	35,061.62	36,689.82	37,915.91	38,820.75	39,738.45	2019
Jamaica	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,095.80	5,193.26	5,170.70	5,406.56	5,730.91	5,826.09	5,220.81	5,643.23	5,986.02	6,297.88	6,595.53	6,886.70	2019
Japan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	38,156.33	34,568.93	38,772.33	38,398.56	39,150.28	40,255.94	39,047.86	40,733.02	42,777.20	45,294.90	47,302.92	48,882.81	2019
Jordan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,188.72	4,218.83	4,224.80	4,273.91	4,341.04	4,425.69	4,173.85	4,347.00	4,526.03	4,747.44	4,994.51	5,255.70	2018
Kazakhstan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,713.56	10,435.17	7,662.01	9,186.71	9,749.07	9,750.17	8,781.87	9,454.35	10,306.85	11,366.28	12,190.81	13,087.10	2018
Kenya	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,451.57	1,483.48	1,561.86	1,737.80	1,888.20	2,004.42	2,075.22	2,122.08	2,234.37	2,347.26	2,465.97	2,593.33	2019
Kiribati	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,655.86	1,556.50	1,598.89	1,656.63	1,718.78	1,672.38	1,638.45	1,816.60	1,850.21	1,899.24	1,942.48	1,987.77	2017
Korea	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	29,249.58	28,732.23	29,286.64	31,616.84	33,422.94	31,846.22	30,644.43	32,305.25	34,011.76	35,682.61	37,405.25	39,113.24	2018
Kosovo	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,098.92	3,637.44	3,766.22	4,027.27	4,432.56	4,428.70	4,141.44	4,753.06	5,020.53	5,285.15	5,558.08	5,846.15	0
Kuwait	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	40,278.05	27,398.08	25,267.15	27,193.90	30,442.12	28,499.79	22,252.43	23,138.08	23,773.59	24,250.79	24,700.70	25,265.21	2018
Kyrgyz Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,292.62	1,132.84	1,131.84	1,254.51	1,321.95	1,323.47	1,147.81	1,269.98	1,359.32	1,445.40	1,501.44	1,560.24	2019
Lao P.D.R.	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,997.99	2,130.63	2,323.36	2,452.97	2,567.89	2,660.75	2,567.01	2,614.12	2,756.12	2,911.11	3,073.89	3,253.70	2018
Latvia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	15,704.81	13,646.70	14,091.38	15,518.22	17,747.01	17,771.63	17,230.14	19,933.77	21,570.62	23,201.14	24,599.64	25,938.45	2019
Lebanon	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,687.93	7,644.55	7,626.30	7,792.60	8,012.54	7,661.07	2,744.76	n/a	n/a	n/a	n/a	n/a	2012
Lesotho	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,274.29	1,115.75	1,130.72	1,223.38	1,215.15	1,185.40	924.208	1,018.32	1,157.50	1,242.60	1,279.95	1,323.35	2016
Liberia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	777.022	764.412	772.393	754.664	731.317	693.818	653.597	646.256	659.038	675.598	695.821	721.805	2016
Libya	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,876.41	2,723.37	2,907.46	4,685.07	6,361.58	6,055.46	3,282.04	4,732.70	6,338.52	7,238.05	7,891.84	8,610.33	2017
Lithuania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,560.79	14,256.28	15,005.50	16,876.66	19,089.28	19,482.14	19,883.07	22,751.74	24,411.17	25,940.81	27,301.06	28,674.00	2019
Luxembourg	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	120,449.74	102,624.93	105,364.03	108,621.75	117,859.72	115,838.77	109,602.32	125,922.64	131,701.05	136,246.00	139,729.08	143,165.97	2018
